strain,BOX_NB,SPOT,MORPHOLOGY SUBSTRATE MYCELIUM,MORPHOLOGY AERIAL MYCELIUM/SPORES,"CATEGORY (1 THE FAST SPORULATERS, 2 THE SLOW)",RDP_NCBI_closest_hit,NCBI_taxid,SPECIES,NOTES,DOMAIN,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,MEDIUM,SAMPLE,SEQUENCING,NEEDED TO BE SEQUENCED/RESEQUENCED,SCREENED OR NOT (1 or 0),REASON FOR REMOVAL FROM COLLECTION (IF 0),not_screened
BS167,3,46,yellow - orange,white - light yellow/green,Category 1,Streptomyces rubiginosohelvolus,67362,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BS,X,NA,1,NA,NA
BS184,3,47,yellow - white,white,Category 2,Streptomyces longispororuber,68230,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BS,X,NA,1,NA,NA
BS185,3,48,grey,dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BS,X,NA,1,NA,NA
BS188,3,49,yellow - orange,light yellow/green,Category 1,Streptomyces rubiginosohelvolus,67362,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BS,X,NA,1,NA,NA
BS195a,3,51,orange,white,Category 2,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BS,X,NA,1,NA,NA
BS195b,3,52,yellow - orange,light yellow/green,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BS,X,NA,1,NA,NA
BS197a,3,53,orange - red,dark brown colonies with white spores,Category 2,Streptomyces phaeochromogenes,1923,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BS,X,NA,1,NA,NA
BS197b,3,54,yellow,light yellow/green,Category 1,Streptomyces rubiginosohelvolus,67362,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BS,X,NA,1,NA,NA
BS198,3,55,red - dark grey (melanoid pigments?),black colonies with white spores,Category 2,Streptomyces umbrinus,67370,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BS,X,NA,1,NA,NA
BS202,3,56,yellow - grey,grey - dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BS,X,NA,1,NA,NA
BS204,3,57,grey - green,light grey - blue,Category 1,Streptomyces coeruleorubidus,116188,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BS,X,1,1,NA,NA
BS204a,3,58,grey - green,light grey - blue,Category 1,Streptomyces coerulescens,29304,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BS,X,1,1,NA,NA
BS205,3,59,"orange - red, darker in some spots where colonies not defined",dark grey - brown,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BS,X,NA,1,NA,NA
BS207,3,60,yellow,light yellow/green,Category 1,Streptomyces rubiginosohelvolus,67362,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BS,X,NA,1,NA,NA
BS211,3,61,"grey, darker in some spots where colonies not defined",dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
BS212,3,62,yellow,light yellow/green,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
BS213,3,63,"orange - red, darker in some spots where colonies not defined",dark grey - brown,Category 1,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
BS214,3,64,red - dark grey (melanoid pigments?),grey - light grey,Category 1,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
BS215a,3,65,yellow,dark grey,Category 1,Streptomyces argenteolus,67274,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
BS216a,3,67,red - dark grey (melanoid pigments?),black colonies with white spores,Category 2,Streptomyces phaeochromogenes,1923,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
BS216c,3,68,red - dark grey (melanoid pigments?),black colonies with white spores,Category 2,Streptomyces phaeochromogenes,1923,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
BS216d,3,69,yellow,"white - light grey, slow sporulation",Category 2,Streptomyces spiroverticillatus,67366,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,0,Unable to grow well enough to be screened (discarded from collection on 22.09.25),1
BS217,3,71,grey,dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,was only one strain BS217,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,1,1,NA,NA
BS218,3,72,orange - red (mostly),grey - pink,Category 1,Streptomyces rubrogriseus,194673,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
BS219b,3,74,light grey,"white, slow sporulation",Category 2,Streptomyces griseorubens,66897,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
BS219c,3,75,yellow - white,light grey,Category 1,Streptomyces griseorubens,66897,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
BS220,3,76,grey,dark grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
BS226,3,77,yellow,light yellow/green,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
BS227,3,78,grey,grey - dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
BS228,3,79,yellow,"white - light grey, slow sporulation",Category 2,Nocardia carnea,37328,Nocardia sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,ARE,BS,X,NA,0,Unable to grow well enough to be screened (discarded from collection on 08.01.26),1
BS233,3,80,yellow - white,white,Category 2,Nocardia asteroides,1110697,Nocardia sp.,was only one strain BS233,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,ARE,BS,X,1,1,NA,NA
BS234,4,1,"orange - red, darker in some spots where colonies not defined",dark grey - brown,Category 1,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
BS235,4,2,yellow,"grey, slow sporulation (plate strongly contaminated)",Category 2,Streptomyces scabiei,1930,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
BS238,4,3,yellow - grey,black colonies with dark grey spores,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BS,X,NA,1,NA,NA
