strain,BOX_NB,SPOT,MORPHOLOGY SUBSTRATE MYCELIUM,MORPHOLOGY AERIAL MYCELIUM/SPORES,"CATEGORY (1 THE FAST SPORULATERS, 2 THE SLOW)",RDP_NCBI_closest_hit,NCBI_taxid,SPECIES,NOTES,DOMAIN,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,MEDIUM,SAMPLE,SEQUENCING,NEEDED TO BE SEQUENCED/RESEQUENCED,SCREENED OR NOT (1 or 0),REASON FOR REMOVAL FROM COLLECTION (IF 0),not_screened
AR092,1,46,yellow,white,Category 2,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AR,X,NA,1,NA,NA
AR092b,1,47,grey,grey - dark grey,Category 1,Streptomyces atroolivaceus,66869,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AR,X,NA,1,NA,NA
AR094,1,48,yellow,white - light yellow/green,Category 1,Streptomyces lavendulae,1914,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AR,X,NA,1,NA,NA
AR101,1,49,grey,dark grey,Category 1,Streptomyces alboviridis,67269,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AR,X,NA,1,NA,NA
AR108,1,50,dark grey - black in the middle of colonies,dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AR,X,NA,1,NA,NA
AR109,1,51,grey,grey - dark grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AR,X,NA,1,NA,NA
AR113,1,53,yellow,light yellow/green,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,was only one strain AR113,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AR,X,1,1,NA,NA
AR115,1,54,yellow,white - light yellow/green,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AR,X,NA,1,NA,NA
AR121,1,55,dark grey,dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AR,X,1,1,NA,NA
AR124,1,56,yellow,light yellow/green,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AR,X,NA,1,NA,NA
AR127,1,57,"orange - red, darker in the center of colonies",black colonies with white spores,Category 2,Streptomyces umbrinus,67370,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AR,X,1,1,NA,NA
AR170,1,58,yellow - orange,white - grey,Category 1,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AR,X,NA,1,NA,NA
AS002,1,59,dark grey,grey - dark grey,Category 1,Streptomyces lavendulae,1914,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AS,X,NA,1,NA,NA
AS004,1,60,grey,dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AS,X,NA,1,NA,NA
AS005,1,61,dark grey - black in the middle of colonies,white,Category 2,Streptomyces phaeochromogenes,1923,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AS,X,NA,1,NA,NA
AS007,1,62,"grey, darker in the middle of the colonies",grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AS,X,NA,1,NA,NA
AS008,1,63,yellow - orange,light yellow/green,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AS,X,NA,1,NA,NA
AS010,1,64,yellow - white,white,Category 2,Nocardioides luteus,1844,Nocardioides sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,TSA,AS,X,NA,1,NA,NA
AS014,1,65,dark grey,dark grey - brown,Category 1,Streptomyces alboviridis,67269,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AS,X,NA,1,NA,NA
AS020,1,66,grey,dark grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AS,X,NA,1,NA,NA
AS032,1,67,grey,"no sporulation, dark grey aerial mycelium",Category 1,Streptomyces alboviridis,67269,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AS,X,NA,1,NA,NA
AS037,1,68,grey,dark grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,AS,X,NA,1,NA,NA
AS041,1,70,yellow - white,light yellow/green,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,was only one strain AS041,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AS,X,1,1,NA,NA
AS046,1,71,yellow - grey,dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AS,X,1,1,NA,NA
AS048,1,72,orange - dark grey,white,Category 2,Streptomyces phaeochromogenes,1923,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AS,X,NA,1,NA,NA
AS053,1,73,yellow,white - light yellow/green,Category 1,Streptomyces microflavus,1919,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AS,X,NA,1,NA,NA
AS065,1,74,yellow,white - light yellow/green,Category 1,Streptomyces lavendulae,1914,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AS,X,1,1,NA,NA
AS073,1,75,yellow,white - light yellow/green,Category 1,Streptomyces lavendulae,1914,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AS,X,NA,1,NA,NA
AS078,1,78,yellow - grey,white - light yellow/green,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AS,X,NA,1,NA,NA
AS079,1,79,grey,dark grey,Category 1,Streptomyces lavendulae,1914,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,AS,X,NA,1,NA,NA
AS097,1,81,yellow - grey,dark grey,Category 1,Streptomyces thermocarboxydus,59299,Streptomyces sp.,was only one strain AS097,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,1,1,NA,NA
AS098,2,2,grey,grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,1,1,NA,NA
AS099,2,3,yellow - grey,light grey - grey,Category 1,Streptomyces lavendulae,1914,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS100,2,4,yellow - grey,dark grey,Category 1,Streptomyces alboviridis,67269,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS104,2,6,yellow - white,green,Category 1,Streptomyces clavifer,68188,Streptomyces sp.,was only one strain AS104,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,1,1,NA,NA
AS105,2,7,dark grey,grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS106,2,8,yellow - white,white,Category 2,Nocardioides luteus,1844,Nocardioides sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,ActIA,AS,X,1,1,NA,NA
AS107,2,9,yellow - white,white,Category 2,Nocardia carnea,37328,Nocardia sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,ActIA,AS,X,NA,1,NA,NA
AS108,2,10,yellow - white,white,Category 2,Nocardioides luteus,1844,Nocardioides sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,ActIA,AS,X,NA,1,NA,NA
AS111,2,11,dark grey,dark grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS112,2,12,yellow,white,Category 2,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS113,2,13,grey,dark grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS114,2,14,dark grey,grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS115,2,15,dark grey,dark grey,Category 1,Streptomyces alboviridis,67269,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS116,2,16,yellow - dark grey,white - grey,Category 1,Streptomyces lavendulae,1914,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS118,2,17,orange - grey,white - dark grey,Category 1,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS120,2,18,dark grey - black in the middle of colonies,light grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,1,1,NA,NA
AS121a,2,19,grey,dark grey,Category 1,Streptomyces lavendulae,1914,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS121b,2,20,white,white,Category 2,Nocardioides luteus,1844,Nocardioides sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,ActIA,AS,X,NA,1,NA,NA
AS121c,2,21,white - yellow,light yellow/green,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS127,2,22,yellow - white,white,Category 2,Nocardia testacea,248551,Nocardia sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,ActIA,AS,X,NA,1,NA,NA
AS131,2,23,yellow,light yellow/green,Category 1,Streptomyces lavendulae,1914,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS133,2,24,white,white,Category 2,Nocardoides albus,1841,Nocardioides sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,ActIA,AS,X,NA,1,NA,NA
AS136,2,25,dark grey,grey - dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS139a,2,26,red,grey - pink,Category 1,Streptomyces anthocyanicus,68174,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS140a,2,27,red,white - light grey - pink,Category 1,Streptomyces rubrogriseus,194673,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS140b,2,28,red,grey - pink,Category 1,Streptomyces anthocyanicus,68174,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS141,2,29,red,grey,Category 1,Streptomyces ambofaciens,1889,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS142,2,30,orange - red,grey - pink,Category 1,Streptomyces lividans,1916,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS143,2,31,orange - red,grey - brown - pink,Category 1,Streptomyces tricolor,68277,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
AS145,2,32,red,grey - brown - pink,Category 1,Streptomyces anthocyanicus,68174,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,AS,X,NA,1,NA,NA
BL040a,2,37,yellow - grey,dark grey,Category 1,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BL,X,NA,1,NA,NA
BL040b,2,38,dark grey,light grey - white,Category 1,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BL,X,NA,1,NA,NA
BL047a,2,39,yellow - white,white,Category 2,Nocardoides albus,1841,Nocardioides sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,ActIA,BL,X,NA,1,NA,NA
BL047b,2,40,yellow - transparent,yellow - white,Category 2,NA,2490412,Micromonospora sp.,was only one strain BL047b,Bacteria,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,ActIA,BL,NA,1,0,Unable to grow well enough to be screened (discarded from collection on 22.09.25),1
BL047c,2,44,yellow - transparent,yellow - white,Category 2,Micromonospora fluminis,2490412,Micromonospora sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,ActIA,BL,X,NA,0,Unable to grow well enough to be screened (discarded from collection on 22.09.25),1
BL087,2,45,orange (thick medium),light grey,Category 1,Streptomyces alboviridis,67269,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BL,X,NA,1,NA,NA
BL091,2,46,red,grey - dark grey,Category 1,Streptomyces griseoaurantiacus,68213,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BL,X,NA,1,NA,NA
BR044,2,47,dark grey,grey - dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BR,X,NA,1,NA,NA
BR045,2,48,yellow - grey,white - light yellow/green,Category 1,Streptomyces lavendulae,1914,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BR,X,NA,1,NA,NA
BR048,2,49,grey,dark grey,Category 1,Streptomyces alboviridis,67269,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BR,X,NA,1,NA,NA
BR051,2,50,grey - black,grey,Category 1,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BR,X,NA,1,NA,NA
BR057,2,51,yellow - grey,grey,Category 1,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BR,X,NA,1,NA,NA
BR060,2,52,orange,white - grey,Category 1,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BR,X,NA,1,NA,NA
BR061,2,53,yellow - grey,grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BR,X,NA,1,NA,NA
BR063,2,54,white - yellow,white,Category 2,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BR,X,NA,1,NA,NA
BR065,2,55,grey,white - light grey,Category 1,Streptomyces cellulosae,1968,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BR,X,NA,1,NA,NA
BR068,2,56,yellow,white - light yellow/green,Category 1,Streptomyces lavendulae,1914,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BR,X,NA,1,NA,NA
BR070,2,57,grey,dark grey,Category 1,Streptomyces microflavus,1919,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BR,X,NA,1,NA,NA
BR074,2,58,white - yellow,light grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BR,X,NA,1,NA,NA
BR079,2,59,dark grey,dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BR,X,NA,1,NA,NA
BR081,2,60,yellow (super strong),white,Category 2,Nocardioides luteus,1844,Nocardioides sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,ActIA,BR,X,NA,1,NA,NA
BR084,2,61,dark grey,grey - dark grey,Category 2,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BR,X,1,1,NA,NA
BR085,2,64,white,white,Category 2,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BR,X,NA,1,NA,NA
BR092a,2,68,orange - dark grey,grey - light grey,Category 1,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BR,X,NA,1,NA,NA
BR092b,2,69,orange,white,Category 2,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BR,X,NA,1,NA,NA
BR097,2,72,"yellow, darker in the center of colonies",light grey,Category 1,Streptomyces badius,1941,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BR,X,NA,1,NA,NA
BR104,2,73,"light yellow, darker in some spots where colonies not defined",grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BR,X,NA,1,NA,NA
BR111,2,74,grey - yellow (on the side of colonies),grey - light grey (waves of spores),Category 1,Streptomyces badius,1941,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BR,X,NA,1,NA,NA
BR113,2,75,dark grey,dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BR,X,NA,1,NA,NA
BR114,2,76,red - dark grey (melanoid pigments?),black colonies with light grey spores,Category 1,Streptomyces thermocarboxydus,59299,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BR,X,NA,1,NA,NA
BR117,2,77,yellow,grey - dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BR,X,NA,1,NA,NA
BR123,2,78,light yellow,white,Category 2,Streptomyces coerulescens,29304,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BR,X,1,1,NA,NA
BR131,2,79,light yellow,grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BR,X,NA,1,NA,NA
BR132,2,80,"yellow, darker in the center of colonies",grey - light grey,Category 1,Streptomyces leeuwenhoekii,1437453,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,TSA,BR,X,NA,1,NA,NA
BR142,2,81,yellow,dark grey,Category 1,Streptomyces leeuwenhoekii,1437453,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BR,X,NA,1,NA,NA
BR143,3,1,"yellow, darker in the center of colonies",light yellow/green,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BR,X,NA,1,NA,NA
BR159,3,2,yellow,light yellow/green,Category 1,Streptomyces microflavus,1919,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BR,X,NA,1,NA,NA
BR162,3,3,yellow,white,Category 2,Nocardia carnea,37328,Nocardia sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,ARE,BR,X,NA,1,NA,NA
BR163,3,4,grey - yellow (on the side of colonies),grey,Category 1,Streptomyces cyaneofuscatus,66883,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BR,X,NA,1,NA,NA
BR164,3,5,yellow,dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,was only one strain BR164,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BR,X,1,1,NA,NA
BR165,3,7,orange,light yellow/green,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ARE,BR,X,1,1,NA,NA
BS078,3,9,light yellow,grey - dark grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BS,X,NA,1,NA,NA
BS082,3,10,light yellow,grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BS,X,NA,1,NA,NA
BS084,3,11,yellow,dark grey,Category 1,Streptomyces leeuwenhoekii,1437453,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BS,X,NA,1,NA,NA
BS085,3,12,"grey, darker in some spots where colonies not defined",dark grey,Category 1,Streptomyces anulatus,1892,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BS,X,NA,1,NA,NA
BS086,3,13,yellow - orange,white - light grey,Category 1,Streptomyces pratensis,1169025,Streptomyces sp.,NA,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,ActIA,BS,X,NA,1,NA,NA
