"strain","RDP_NCBI_closest_hit","Phylum","Class","Order","Family","Genus","Medium","Antibiotic","Sample","Cultivar","compartment"
"BS246","Pedobacter sp.","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","ARE","Nys","BS","Bintje","Rhizosphere soil"
"BS247",NA,NA,NA,NA,NA,NA,"ARE","Nys","BS","Bintje","Rhizosphere soil"
"AR012b",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Innovator","Root"
"AR031a",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Innovator","Root"
"AR031b",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Innovator","Root"
"AR043a",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Innovator","Root"
"AR043b",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Innovator","Root"
"AR113a",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Innovator","Root"
"AR113b",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Innovator","Root"
"AS041a",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Innovator","Rhizosphere soil"
"AS041b",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Innovator","Rhizosphere soil"
"AS076a",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE",NA,NA,"Innovator","Rhizosphere soil"
"AS076b",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE",NA,NA,"Innovator","Rhizosphere soil"
"AS097a1",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Innovator","Rhizosphere soil"
"AS097a2",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Innovator","Rhizosphere soil"
"AS098",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Innovator","Rhizosphere soil"
"AS104b",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Innovator","Rhizosphere soil"
"BL038a",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Bintje","Leaf"
"BL038b",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Bintje","Leaf"
"BL038c",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Bintje","Leaf"
"BL038d",NA,"Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia","ActIA",NA,NA,"Bintje","Leaf"
"BL047b2",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Bintje","Leaf"
"BL047b3",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Bintje","Leaf"
"BL047b4",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Bintje","Leaf"
"BR091a",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Bintje","Root"
"BR091b",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Bintje","Root"
"BR091c",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Bintje","Root"
"BR092c",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Bintje","Root"
"BR092d",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Bintje","Root"
"BR164a",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE",NA,NA,"Bintje","Root"
"BS093a1",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Bintje","Rhizosphere soil"
"BS093a2",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Bintje","Rhizosphere soil"
"BS126a",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Bintje","Rhizosphere soil"
"BS137",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Bintje","Rhizosphere soil"
"BS152a",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Bintje","Rhizosphere soil"
"BS152b",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Bintje","Rhizosphere soil"
"BS195",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Bintje","Rhizosphere soil"
"BS204a",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Bintje","Rhizosphere soil"
"BS216",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE",NA,NA,"Bintje","Rhizosphere soil"
"BS217a",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE",NA,NA,"Bintje","Rhizosphere soil"
"BS217b",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE",NA,NA,"Bintje","Rhizosphere soil"
"BS233a",NA,"Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia","ARE",NA,NA,"Bintje","Rhizosphere soil"
"BS233b",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE",NA,NA,"Bintje","Rhizosphere soil"
"AS097b",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,NA,"Innovator","Rhizosphere soil"
"AR012a",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,NA,"Innovator","Root"
"BS022b",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","PDA",NA,NA,"Bintje","Rhizosphere soil"
